,Location,Code,Year,Continent
0,Afghanistan,AFG,2023,Asia
1,Aland Islands,ALA,2023,Europe
2,Albania,ALB,2023,Europe
3,Algeria,DZA,2023,Africa
4,American Samoa,ASM,2023,Oceania
5,Andorra,AND,2023,Europe
6,Angola,AGO,2023,Africa
7,Anguilla,AIA,2023,North America
8,Antigua and Barbuda,ATG,2023,North America
9,Argentina,ARG,2023,South America
10,Armenia,ARM,2023,Asia
11,Aruba,ABW,2023,North America
12,Australia,AUS,2023,Oceania
13,Austria,AUT,2023,Europe
14,Austria-Hungary,OWID_AUH,2023,Europe
15,Azerbaijan,AZE,2023,Asia
16,Bahamas,BHS,2023,North America
17,Bahrain,BHR,2023,Asia
18,Bangladesh,BGD,2023,Asia
19,Barbados,BRB,2023,North America
20,Belarus,BLR,2023,Europe
21,Belgium,BEL,2023,Europe
22,Belize,BLZ,2023,North America
23,Benin,BEN,2023,Africa
24,Bermuda,BMU,2023,North America
25,Bhutan,BTN,2023,Asia
26,Bolivia,BOL,2023,South America
27,Bonaire Sint Eustatius and Saba,BES,2023,North America
28,Bosnia and Herzegovina,BIH,2023,Europe
29,Botswana,BWA,2023,Africa
30,Brazil,BRA,2023,South America
31,British Indian Ocean Territory,IOT,2023,Asia
32,British Virgin Islands,VGB,2023,North America
33,Brunei,BRN,2023,Asia
34,Bulgaria,BGR,2023,Europe
35,Burkina Faso,BFA,2023,Africa
36,Burundi,BDI,2023,Africa
37,Cambodia,KHM,2023,Asia
38,Cameroon,CMR,2023,Africa
39,Canada,CAN,2023,North America
40,Cape Verde,CPV,2023,Africa
41,Cayman Islands,CYM,2023,North America
42,Central African Republic,CAF,2023,Africa
43,Chad,TCD,2023,Africa
44,Chile,CHL,2023,South America
45,China,CHN,2023,Asia
46,Christmas Island,CXR,2023,Asia
47,Cocos Islands,CCK,2023,Asia
48,Colombia,COL,2023,South America
49,Comoros,COM,2023,Africa
50,Congo,COG,2023,Africa
51,Cook Islands,COK,2023,Oceania
52,Costa Rica,CRI,2023,North America
53,Cote d'Ivoire,CIV,2023,Africa
54,Croatia,HRV,2023,Europe
55,Cuba,CUB,2023,North America
56,Curacao,CUW,2023,North America
57,Cyprus,CYP,2023,Europe
58,Czechia,CZE,2023,Europe
59,Czechoslovakia,OWID_CZS,2023,Europe
60,Democratic Republic of Congo,COD,2023,Africa
61,Democratic Republic of Vietnam,,2023,Asia
62,Denmark,DNK,2023,Europe
63,Djibouti,DJI,2023,Africa
64,Dominica,DMA,2023,North America
65,Dominican Republic,DOM,2023,North America
66,Duchy of Modena and Reggio,,2023,Europe
67,Duchy of Parma and Piacenza,,2023,Europe
68,East Germany,OWID_GDR,2023,Europe
69,East Timor,TLS,2023,Asia
70,Ecuador,ECU,2023,South America
71,Egypt,EGY,2023,Africa
72,El Salvador,SLV,2023,North America
73,Equatorial Guinea,GNQ,2023,Africa
