,Location,Code,Year,Continent
61,Democratic Republic of Vietnam,,2023,Asia
66,Duchy of Modena and Reggio,,2023,Europe
67,Duchy of Parma and Piacenza,,2023,Europe
81,Federal Republic of Central America,,2023,North America
93,Grand Duchy of Baden,,2023,Europe
94,Grand Duchy of Tuscany,,2023,Europe
95,Great Colombia,,2023,South America
125,Kingdom of Bavaria,,2023,Europe
126,Kingdom of Sardinia,,2023,Europe
127,Kingdom of Saxony,,2023,Europe
128,Kingdom of Wurttemberg,,2023,Europe
129,Kingdom of the Two Sicilies,,2023,Europe
183,Orange Free State,,2023,Africa
185,Pakistan (former),,2023,Asia
