,Location,Code,Year,Gap
0,Australia,AUS,1975,21.6
1,Australia,AUS,1976,20.8
2,Australia,AUS,1977,18.4
3,Australia,AUS,1978,19.8
4,Australia,AUS,1979,20.0
5,Australia,AUS,1980,18.8
6,Australia,AUS,1981,18.3
7,Australia,AUS,1982,20.8
8,Australia,AUS,1983,19.2
9,Australia,AUS,1984,18.7
10,Australia,AUS,1985,19.6
11,Australia,AUS,1986,18.8
12,Australia,AUS,1987,18.5
13,Australia,AUS,1988,18.8
14,Australia,AUS,1989,18.6
15,Australia,AUS,1990,18.2
16,Australia,AUS,1991,16.0
17,Australia,AUS,1992,14.3
18,Australia,AUS,1993,13.2
19,Australia,AUS,1994,14.4
20,Australia,AUS,1995,14.5
21,Australia,AUS,1997,15.3
22,Australia,AUS,1998,13.2
23,Australia,AUS,1999,14.3
24,Australia,AUS,2000,17.2
25,Australia,AUS,2001,14.3
26,Australia,AUS,2002,15.0
27,Australia,AUS,2003,13.0
28,Australia,AUS,2004,14.4
29,Australia,AUS,2005,15.8
30,Australia,AUS,2006,16.7
31,Australia,AUS,2007,15.4
32,Australia,AUS,2008,11.9
33,Australia,AUS,2009,16.4
34,Australia,AUS,2010,14.0
35,Australia,AUS,2011,16.0
36,Australia,AUS,2012,13.8
37,Australia,AUS,2013,18.0
38,Australia,AUS,2014,15.4
39,Australia,AUS,2015,13.0
40,Australia,AUS,2016,14.3
41,Austria,AUT,2000,23.1
42,Austria,AUT,2001,22.8
43,Austria,AUT,2002,24.5
44,Austria,AUT,2003,21.1
45,Austria,AUT,2004,22.4
46,Austria,AUT,2005,22.0
47,Austria,AUT,2006,21.9
48,Austria,AUT,2007,21.6
49,Austria,AUT,2008,20.9
50,Austria,AUT,2009,19.4
51,Austria,AUT,2010,19.2
52,Austria,AUT,2011,18.6
53,Austria,AUT,2012,18.2
54,Austria,AUT,2013,18.1
55,Austria,AUT,2014,17.7
56,Austria,AUT,2015,17.0
57,Belgium,BEL,1999,15.2
58,Belgium,BEL,2000,13.6
59,Belgium,BEL,2001,13.2
60,Belgium,BEL,2002,11.6
61,Belgium,BEL,2003,15.2
62,Belgium,BEL,2004,11.8
63,Belgium,BEL,2005,11.5
64,Belgium,BEL,2006,10.3
65,Belgium,BEL,2007,9.9
66,Belgium,BEL,2008,8.9
67,Belgium,BEL,2009,7.5
68,Belgium,BEL,2010,7.0
69,Belgium,BEL,2011,5.8
70,Belgium,BEL,2012,6.4
71,Belgium,BEL,2013,5.9
72,Belgium,BEL,2014,3.3
73,Canada,CAN,1997,24.7
74,Canada,CAN,1998,24.9
75,Canada,CAN,1999,24.0
76,Canada,CAN,2000,23.9
77,Canada,CAN,2001,24.3
78,Canada,CAN,2002,24.0
79,Canada,CAN,2003,22.5
80,Canada,CAN,2004,22.7
81,Canada,CAN,2005,21.3
82,Canada,CAN,2006,21.1
83,Canada,CAN,2007,20.8
84,Canada,CAN,2008,20.5
85,Canada,CAN,2009,20.1
86,Canada,CAN,2010,19.0
87,Canada,CAN,2011,19.2
88,Canada,CAN,2012,19.5
89,Canada,CAN,2013,19.3
90,Canada,CAN,2014,19.2
91,Canada,CAN,2015,18.6
92,Chile,CHL,2000,0.0
93,Chile,CHL,2003,0.0
94,Chile,CHL,2006,4.0
95,Chile,CHL,2009,9.1
96,Chile,CHL,2011,16.0
97,Chile,CHL,2013,16.7
98,Chile,CHL,2015,21.1
99,Colombia,COL,2007,1.3
100,Colombia,COL,2008,1.7
101,Colombia,COL,2009,3.4
102,Colombia,COL,2010,6.4
103,Colombia,COL,2011,3.5
104,Colombia,COL,2012,8.2
105,Colombia,COL,2013,7.1
106,Colombia,COL,2014,9.6
107,Colombia,COL,2015,11.1
108,Costa Rica,CRI,2010,0.0
109,Costa Rica,CRI,2011,4.6
110,Costa Rica,CRI,2012,0.6
111,Costa Rica,CRI,2013,0.0
112,Costa Rica,CRI,2014,5.1
113,Costa Rica,CRI,2015,3.7
114,Czechia,CZE,1996,18.3
115,Czechia,CZE,1997,18.4
116,Czechia,CZE,1999,19.0
117,Czechia,CZE,2001,16.9
118,Czechia,CZE,2002,16.0
119,Czechia,CZE,2003,15.6
120,Czechia,CZE,2004,16.1
121,Czechia,CZE,2005,15.9
122,Czechia,CZE,2006,15.4
123,Czechia,CZE,2007,16.9
124,Czechia,CZE,2008,17.9
125,Czechia,CZE,2009,15.1
126,Czechia,CZE,2010,15.8
127,Czechia,CZE,2011,16.3
128,Czechia,CZE,2012,15.3
129,Czechia,CZE,2013,15.4
130,Czechia,CZE,2014,16.3
131,Czechia,CZE,2015,16.5
132,Czechia,CZE,2016,16.3
133,Denmark,DNK,2002,10.8
134,Denmark,DNK,2003,9.9
135,Denmark,DNK,2004,10.2
136,Denmark,DNK,2005,10.2
137,Denmark,DNK,2006,10.2
138,Denmark,DNK,2007,9.9
139,Denmark,DNK,2008,10.2
140,Denmark,DNK,2009,10.2
141,Denmark,DNK,2010,8.9
142,Denmark,DNK,2011,7.9
143,Denmark,DNK,2012,7.0
144,Denmark,DNK,2013,6.8
145,Denmark,DNK,2014,6.3
146,Denmark,DNK,2015,5.8
147,Estonia,EST,2002,25.0
148,Estonia,EST,2006,29.7
149,Estonia,EST,2010,27.8
150,Estonia,EST,2014,28.3
151,Finland,FIN,1977,27.7
152,Finland,FIN,1978,27.1
153,Finland,FIN,1979,27.2
154,Finland,FIN,1980,26.6
155,Finland,FIN,1982,26.0
156,Finland,FIN,1983,25.6
157,Finland,FIN,1984,23.4
158,Finland,FIN,1986,22.5
159,Finland,FIN,1987,23.6
160,Finland,FIN,1988,23.0
161,Finland,FIN,1989,23.6
162,Finland,FIN,1990,22.9
163,Finland,FIN,1991,21.5
164,Finland,FIN,1992,20.3
165,Finland,FIN,1993,22.0
166,Finland,FIN,1994,23.1
167,Finland,FIN,1995,22.4
168,Finland,FIN,1996,20.6
169,Finland,FIN,1997,21.3
170,Finland,FIN,1998,20.8
171,Finland,FIN,1999,21.7
172,Finland,FIN,2000,20.4
173,Finland,FIN,2001,21.2
174,Finland,FIN,2002,20.4
175,Finland,FIN,2003,20.1
176,Finland,FIN,2004,20.0
177,Finland,FIN,2005,18.9
178,Finland,FIN,2006,19.4
179,Finland,FIN,2007,21.4
180,Finland,FIN,2008,21.2
181,Finland,FIN,2009,19.7
182,Finland,FIN,2010,18.9
183,Finland,FIN,2011,18.6
184,Finland,FIN,2012,18.7
185,Finland,FIN,2013,20.2
186,Finland,FIN,2014,19.6
187,Finland,FIN,2015,18.1
188,France,FRA,2002,13.3
189,France,FRA,2006,9.4
190,France,FRA,2010,9.1
191,France,FRA,2014,9.9
192,Germany,DEU,1992,27.0
193,Germany,DEU,1993,23.4
194,Germany,DEU,1994,21.0
195,Germany,DEU,1995,20.0
196,Germany,DEU,1996,20.9
197,Germany,DEU,1997,21.5
198,Germany,DEU,1998,21.2
199,Germany,DEU,1999,21.0
200,Germany,DEU,2000,20.5
201,Germany,DEU,2001,19.2
202,Germany,DEU,2002,19.1
203,Germany,DEU,2003,20.4
204,Germany,DEU,2004,22.5
205,Germany,DEU,2005,17.3
