,Year,Location,Gap,Code,Continent
0,1975,Australia,21.6,AUS,Oceania
1,1976,Australia,20.8,AUS,Oceania
2,1977,Australia,18.4,AUS,Oceania
3,1978,Australia,19.8,AUS,Oceania
4,1979,Australia,20.0,AUS,Oceania
5,1980,Australia,18.8,AUS,Oceania
6,1981,Australia,18.3,AUS,Oceania
7,1982,Australia,20.8,AUS,Oceania
8,1983,Australia,19.2,AUS,Oceania
9,1984,Australia,18.7,AUS,Oceania
10,1985,Australia,19.6,AUS,Oceania
11,1986,Australia,18.8,AUS,Oceania
12,1987,Australia,18.5,AUS,Oceania
13,1988,Australia,18.8,AUS,Oceania
14,1989,Australia,18.6,AUS,Oceania
15,1990,Australia,18.2,AUS,Oceania
16,1991,Australia,16.0,AUS,Oceania
17,1992,Australia,14.3,AUS,Oceania
18,1993,Australia,13.2,AUS,Oceania
19,1994,Australia,14.4,AUS,Oceania
20,1995,Australia,14.5,AUS,Oceania
21,1997,Australia,15.3,AUS,Oceania
22,1998,Australia,13.2,AUS,Oceania
23,1999,Australia,14.3,AUS,Oceania
24,2000,Australia,17.2,AUS,Oceania
25,2001,Australia,14.3,AUS,Oceania
26,2002,Australia,15.0,AUS,Oceania
27,2003,Australia,13.0,AUS,Oceania
28,2004,Australia,14.4,AUS,Oceania
29,2005,Australia,15.8,AUS,Oceania
30,2006,Australia,16.7,AUS,Oceania
31,2007,Australia,15.4,AUS,Oceania
32,2008,Australia,11.9,AUS,Oceania
33,2009,Australia,16.4,AUS,Oceania
34,2010,Australia,14.0,AUS,Oceania
35,2011,Australia,16.0,AUS,Oceania
36,2012,Australia,13.8,AUS,Oceania
37,2013,Australia,18.0,AUS,Oceania
38,2014,Australia,15.4,AUS,Oceania
39,2015,Australia,13.0,AUS,Oceania
40,2016,Australia,14.3,AUS,Oceania
41,2000,Austria,23.1,AUT,Europe
42,2001,Austria,22.8,AUT,Europe
43,2002,Austria,24.5,AUT,Europe
44,2003,Austria,21.1,AUT,Europe
45,2004,Austria,22.4,AUT,Europe
46,2005,Austria,22.0,AUT,Europe
47,2006,Austria,21.9,AUT,Europe
48,2007,Austria,21.6,AUT,Europe
